name	branch_name	total_test_files	total_target_files	first_before	first_same	first_after	average_diff_before	average_diff_same	average_diff_after	average_test_before	average_target_before	average_test_same	average_target_same	average_test_after	average_target_after, average_pos_number_methods, average_neg_number_methods, average_pos_added_lines, average_neg_added_lines
maven-resolver	{'master'}	158	134	1	89	44	208.0	174.29775280898878	148.32954545454547	304.0	112.0	143.3370786516854	205.25842696629215	117.56818181818181	179.0909090909091	2.08955223880597	-2.08955223880597	2.626865671641791	-3.1865671641791047
airavata	{'master'}	80	59	0	18	41	0	132.91666666666666	84.89024390243902	0	0	106.94444444444444	158.88888888888889	111.95121951219512	57.829268292682926	1.1016949152542372	-1.8983050847457628	4.389830508474576	-4.711864406779661
james-project	{'master'}	2012	1140	2	867	271	62.25	111.85928489042676	120.74723247232473	90.0	34.5	121.38523644752019	102.33333333333333	96.26937269372694	145.2250922509225	1.8271929824561404	-2.6166666666666667	2.730701754385965	-3.33859649122807
logging-log4j2	{'2.x'}	801	382	7	194	181	77.57142857142857	108.72164948453609	112.29558011049724	45.857142857142854	109.28571428571429	93.19587628865979	124.24742268041237	99.21546961325967	125.37569060773481	2.7958115183246073	-4.481675392670157	5.306282722513089	-9.88219895287958
struts1	{'trunk'}	34	24	0	4	20	0	161.75	235.725	0	0	128.25	195.25	216.0	255.45	4.208333333333333	-11.666666666666666	4.208333333333333	-18.333333333333332
ofbiz-framework	{'trunk'}	87	18	0	2	16	0	251.25	451.9375	0	0	136.0	366.5	93.0	810.875	2.8333333333333335	-14.777777777777779	3.3333333333333335	-39.166666666666664
cocoon	{'trunk'}	140	19	0	11	8	0	166.04545454545453	115.25	0	0	162.8181818181818	169.27272727272728	59.0	171.5	1.736842105263158	-0.5263157894736842	2.8947368421052633	-2.3684210526315788
dubbo	{'3.2'}	820	645	3	284	358	99.0	122.80985915492958	93.54608938547486	56.666666666666664	141.33333333333334	113.69366197183099	131.92605633802816	85.87150837988827	101.22067039106145	1.848062015503876	-3.441860465116279	3.5193798449612403	-7.637209302325582
kafka	{'trunk'}	1355	1018	4	720	294	186.625	187.42222222222222	110.92857142857143	153.0	220.25	184.70555555555555	190.13888888888889	103.38095238095238	118.47619047619048	3.8880157170923377	-3.6404715127701377	3.8605108055009825	-4.885068762278978
incubator-seata	{'2.x'}	416	303	2	154	147	77.5	96.14935064935065	101.19727891156462	92.5	62.5	98.21428571428571	94.08441558441558	93.16326530612245	109.2312925170068	1.4752475247524752	-2.283828382838284	1.6996699669966997	-3.3003300330033003
skywalking	{'master'}	211	154	2	97	55	72.25	105.23195876288659	92.8	67.0	77.5	95.90721649484536	114.55670103092784	99.45454545454545	86.14545454545454	1.1233766233766234	-1.6493506493506493	1.6103896103896105	-3.1493506493506493
flink	{'master'}	3690	1915	24	1270	621	88.95833333333333	148.203937007874	127.69806763285024	105.5	72.41666666666667	142.85826771653544	153.5496062992126	118.65700483091787	136.7391304347826	2.3926892950391645	-3.119060052219321	2.9613577023498694	-4.211488250652741
orc	{'main'}	115	60	0	45	15	0	232.88888888888889	371.6666666666667	0	0	189.37777777777777	276.4	134.13333333333333	609.2	2.35	-3.433333333333333	2.566666666666667	-4.783333333333333
calcite	{'main'}	270	121	4	64	53	137.75	451.1484375	197.79245283018867	154.25	121.25	439.109375	463.1875	141.77358490566039	253.81132075471697	12.743801652892563	-9.132231404958677	12.008264462809917	-13.0
doris	{'master'}	762	547	5	387	155	309.3	148.11369509043928	167.6258064516129	259.0	359.6	118.85271317829458	177.37467700258398	130.5225806451613	204.7290322580645	2.416819012797075	-5.952468007312614	2.5978062157221204	-9.06946983546618
shiro	{'main'}	134	100	0	42	58	0	113.75	84.10344827586206	0	0	104.47619047619048	123.02380952380952	73.39655172413794	94.8103448275862	1.14	-3.26	3.08	-6.01
beam	{'master'}	1718	1267	8	985	274	120.625	174.48375634517765	121.8448905109489	144.25	97.0	159.24060913705583	189.72690355329948	110.62043795620438	133.06934306569343	1.1846882399368588	-1.2115232833464877	7.664561957379637	-7.959747434885556
shardingsphere	{'master'}	1961	1343	3	789	551	22.333333333333332	44.22306717363752	58.03539019963702	40.0	4.666666666666667	45.129277566539926	43.31685678073511	66.15426497277677	49.91651542649728	1.932241250930752	-3.8019359642591213	5.732688011913626	-7.273268801191363
nifi	{'main'}	1464	1233	5	962	266	112.1	186.02910602910603	203.09586466165413	137.2	87.0	180.02598752598752	192.03222453222452	141.093984962406	265.09774436090225	1.32441200324412	-1.62124898621249	1.429845904298459	-2.870235198702352
iotdb	{'master'}	703	427	4	270	153	96.125	156.25	138.00980392156862	112.5	79.75	152.26296296296297	160.23703703703703	136.33333333333334	139.68627450980392	1.7236533957845432	-4.46135831381733	2.7049180327868854	-8.180327868852459
iceberg	{'main'}	757	347	2	233	112	207.0	159.0343347639485	121.54910714285714	70.0	344.0	167.56223175965664	150.50643776824035	101.75	141.34821428571428	2.5417867435158503	-2.7060518731988474	2.7435158501440924	-3.0086455331412103
incubator-celeborn	{'main'}	8	6	0	6	0	0	155.66666666666666	0	0	0	132.5	178.83333333333334	0	0	1.6666666666666667	-0.8333333333333334	1.0	-1.6666666666666667
incubator-kie-tools	{'main'}	2467	1973	12	1301	660	108.70833333333333	117.58186010760953	107.22348484848484	127.0	90.41666666666667	127.68562644119908	107.47809377401998	102.07121212121213	112.37575757575758	2.1682716675114038	-1.4683223517486061	3.663456664977192	-2.1434363912823113
